Con1	S1_1	S2_4	Con2	S2_2	S2_3	S5_1	E4_1	E4_3	S4_4	E5_2	N3_3	E4_2	E3_1	N3_2	S4_1	E3_4	E7_4	E5_3	E7_3	N6_4	N6_3	N3_1	S6_3	S5_3	E5_1	Con4	E3_2	E7_2	S6_4	S7_4	S4_3	S7_1	S1_2	S6_1	S1_4	S7_3	S5_4	N6_2
name11	0.000521376433785193	0	0.00459462982273201	0.00182481751824818	6.51720542231491e-05	0.000260688216892596	0.00133602711157456	0.000130344108446298	0	9.77580813347237e-05	0	9.77580813347237e-05	0	0	0.00625651720542232	0	0	3.25860271115746e-05	0.000293274244004171	0	0.000195516162669447	0	0.00531152241918665	0.000130344108446298	0.00544186652763295	3.25860271115746e-05	0.00146637122002086	0.000423618352450469	6.51720542231491e-05	3.25860271115746e-05	3.25860271115746e-05	3.25860271115746e-05	0.00130344108446298	0.000293274244004171	0	0	3.25860271115746e-05	0.000553962460896767	0
name13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162930135557873	0	0	0
name14	0	3.25860271115746e-05	0.00540928050052138	3.25860271115746e-05	0.000260688216892596	0	0	9.77580813347237e-05	0	6.51720542231491e-05	0.000162930135557873	0.00609358706986444	0	0	0.00762513034410845	0.000130344108446298	3.25860271115746e-05	6.51720542231491e-05	3.25860271115746e-05	3.25860271115746e-05	0.00127085505735141	9.77580813347237e-05	0.00436652763295099	6.51720542231491e-05	9.77580813347237e-05	0	6.51720542231491e-05	0	0	0	0	6.51720542231491e-05	0	0	0	0.00136861313868613	0	0	0
name16	0.000162930135557873	0.000260688216892596	0	3.25860271115746e-05	0.000293274244004171	3.25860271115746e-05	0	0.000195516162669447	0	0.000423618352450469	0	0.001531543274244	6.51720542231491e-05	0	0	0.000162930135557873	0	0	6.51720542231491e-05	3.25860271115746e-05	3.25860271115746e-05	0	6.51720542231491e-05	0	0	0	6.51720542231491e-05	6.51720542231491e-05	3.25860271115746e-05	0.000162930135557873	0.000293274244004171	0	0.00071689259645464	6.51720542231491e-05	0.00035844629822732	9.77580813347237e-05	0.000977580813347237	0.000130344108446298	0
name17	0.000391032325338895	0.000553962460896767	0.000553962460896767	0.000423618352450469	6.51720542231491e-05	9.77580813347237e-05	0	0.000521376433785193	0.000586548488008342	0.0016618873826903	0.000260688216892596	0.000260688216892596	0.00035844629822732	0.00035844629822732	3.25860271115746e-05	0.00202033368091762	0.000749478623566215	0.000130344108446298	0.000162930135557873	0.000195516162669447	0.0017922314911366	0.000130344108446298	9.77580813347237e-05	0.000195516162669447	9.77580813347237e-05	0.000228102189781022	0.000749478623566215	0.000325860271115746	0.000228102189781022	0.000130344108446298	0.000977580813347237	0.00035844629822732	0.000782064650677789	0.000260688216892596	0.000423618352450469	0.000325860271115746	0.000814650677789364	0.000488790406673618	0.000228102189781022
name18	0.0420685610010428	0.0199752346193952	0.0236248696558916	0.056145724713243	0.014859228362878	0.0734814911366006	0.0229731491136601	0.0225821167883212	0.00977580813347237	0.0569277893639208	0.0551355578727842	0.0052463503649635	0.0132625130344108	0.0038451511991658	0.00866788321167883	0.0290341501564129	0.0177919708029197	0.0188998957247132	0.0623696558915537	0.00964546402502607	0.00850495307612096	0.00107533889468196	0.00459462982273201	0.0213764337851929	0.0235271115745568	0.0690172054223149	0.0227776329509906	0.00628910323253389	0.00609358706986444	0.0118938998957247	0.0621741397288843	0.0034541188738269	0.0577750260688217	0.0380278936392075	0.0170099061522419	0.00648461939520334	0.0623370698644421	0.0343456725755996	0.00361704900938478
name19	0	3.25860271115746e-05	0	0	0	0	0.000130344108446298	0.000130344108446298	9.77580813347237e-05	0	6.51720542231491e-05	0.00254171011470282	0	0	0	0	0.000195516162669447	6.51720542231491e-05	0	0	6.51720542231491e-05	0	0	0	3.25860271115746e-05	0	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0
name20	0	0	0	0	0	0	0	6.51720542231491e-05	0	0	0	0.000130344108446298	0	0	0	0	0	0	0	0	3.25860271115746e-05	0	0	0	0	0	3.25860271115746e-05	0	0	0	0	0	0	0	0	0	0	0	0
name21	0.00241136600625652	0.00635427528675704	0.000684306569343066	0.00143378519290928	0.000814650677789364	0.00159671532846715	0.00198774765380605	0.00635427528675704	0.00316084462982273	0.00351929092805005	0.00159671532846715	0.00035844629822732	0.0038451511991658	0.00114051094890511	0.000619134515119917	0.00309567257559958	0.00465980187695516	0.00303050052137643	0.00237877997914494	0.00130344108446298	0.00110792492179353	0.000260688216892596	0.000847236704900939	0.0102320125130344	0.00273722627737226	0.00446428571428571	0.00110792492179353	0.000814650677789364	0.000684306569343066	0.00475755995828989	0.00136861313868613	0.000977580813347237	0.00534410844629823	0.00316084462982273	0.00280239833159541	0.000325860271115746	0.00202033368091762	0.00257429614181439	0.000521376433785193
name22	0.000651720542231491	0.000619134515119917	0.000749478623566215	0.00035844629822732	0.000228102189781022	0.000195516162669447	0.000423618352450469	0.000912408759124088	0.000195516162669447	0.000782064650677789	0.000684306569343066	0.00107533889468196	0.000423618352450469	0	0.000260688216892596	0.000879822732012513	0.000553962460896767	0.000325860271115746	0.000749478623566215	0.000260688216892596	0.000260688216892596	0	0.00162930135557873	0.00123826903023983	0.00101016684045881	0.00104275286757039	0.000749478623566215	0.000130344108446298	0.000260688216892596	0.000488790406673618	0.000130344108446298	0.000325860271115746	0.000162930135557873	3.25860271115746e-05	0.000162930135557873	0.000814650677789364	0.000391032325338895	0.000228102189781022	9.77580813347237e-05
